[Type: Postech2019_Src],[Date: 08/29/19 09:39:44],,,,,,,,,,,,,,,,,,,
X1_InP,X2_InP,X3_InP,X4_InP,X5_InP,X6_InP,X7_InP,X8_InP,X9_InP,X10_InP,X11_InP,X12_InP,X13_InP,X14_InP,????,Post??,????????,|????-??????|,|Post??-??????|,??,????
2.521,196.52,196.48,658.1,3104.4,2832.2,1125,1105,302,2225,2627,0.35724,0,20,196.4374805,195.306,40.27,,,,0.00277
2.521,175.23,175.12,658.1,3012.1,2788,1125,1103,302,2225,2627,0.35724,0,20,175.1656937,174.202,40.27,,,,0.00277
2.521,155.24,155.21,658.2,2974.2,2675.4,1125,1099,302,2225,2627,0.35724,0,20,155.2399014,154.425,40.27,,,,0.00277
2.521,136.85,136.75,658.2,2929.4,2644.7,1125,1097,302,2225,2627,0.35724,0,20,136.8642936,136.198,40.27,,,,0.00277
2.521,120.03,119.99,658.3,2810,2521.7,1125,1094,302,2225,2627,0.35724,0,20,120.0544236,119.51,40.27,,,,0.00277
2.521,105.09,105.02,658.4,2599.2,2441.8,1125,1090,302,2225,2627,0.35724,0,20,105.0888471,104.647,40.27,,,,0.00277
2.521,91.95,91.93,658.4,2450.4,2337.2,1125,1085,302,2225,2627,0.35724,0,20,91.95654821,91.6,40.27,,,,0.00277
2.521,80.74,80.7,658.5,2328.7,2244.4,1125,1080,302,2225,2627,0.35724,0,20,80.68059071,80.392,40.27,,,,0.00277
2.351,72.03,72.03,658.5,3248,2728.4,1125,871,302,2225,2627,0.35724,0,20,73.03708751,72.954,40.27,,,,0.00277
2.351,65.24,65.23,658.6,3190.7,3014.6,1125,869,302,2225,2627,0.35724,0,20,66.71975191,66.669,40.27,,,,0.00277
2.351,59.69,59.68,658.6,3033.7,3042,1125,864,302,2225,2627,0.35724,0,20,61.26970641,61.225,40.27,,,,0.00277
2.351,54.6,54.58,658.6,3040.7,3059.3,1125,860,302,2225,2627,0.35724,0,20,56.23600581,56.214,40.27,,,,0.00277
2.321,49.85,49.85,658.6,3067.2,3077.2,1125,854,302,2225,2627,0.35724,0,20,51.57374461,51.594,40.27,,,,0.00277
2.321,45.67,45.67,658.7,3025.6,3030.1,1125,849,302,2225,2627,0.35724,0,20,47.36212881,47.395,40.27,,,,0.00277
2.321,41.95,41.91,658.7,2964.7,2985.8,1125,842,302,2225,2627,0.35724,0,20,43.57437481,43.62,40.27,,,,0.00277
2.321,38.68,38.7,658.7,2884.9,2875.6,1125,837,302,2225,2627,0.35724,0,20,40.23983431,40.281,40.27,0.030165693,0.011,Post??,0.00277
